               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.033348,           0.0087953,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045037,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.02946,           0.0078608,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045037,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.029826,           0.0073823,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045296,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.036668,           0.0094224,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045296,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.036074,            0.012471,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044967,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.025725,           0.0082725,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044967,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.030789,            0.013886,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047742,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.030348,            0.010712,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047742,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.031091,            0.009545,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047786,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.027352,           0.0081217,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047786,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.027498,            0.011092,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050317,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.045245,           0.0066413,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050317,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.046107,            0.008951,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042732,                   0,             0.00505,             0.00505,             0.00505
